,ad_id,xyz_campaign_id,fb_campaign_id,age,gender,interest,Impressions,Clicks,Spent,Total_Conversion,Approved_Conversion,CTR,CPC,CPA,Conversion Rate,CPM
31,709901,916,104109,40-44,M,16,23817,7.0,8.470000148,1,1.0,0.02939077129781249,1.2100000211428572,8.470000148,14.285714285714285,0.3556283389175799
32,710045,916,104133,45-49,M,16,47224,12.0,15.82000017,1,,0.025410808063696423,1.3183333475,0.0,0.0,0.33499915657292906
33,710088,916,104140,45-49,M,24,2283,1.0,1.470000029,1,,0.043802014892685065,1.470000029,0.0,0.0,0.6438896316250547
34,710360,916,104185,45-49,M,21,2182,1.0,1.529999971,1,1.0,0.045829514207149404,1.529999971,1.529999971,100.0,0.7011915540788267
36,710480,916,104205,30-34,F,16,57665,14.0,18.06999969,1,1.0,0.024278158328275384,1.2907142635714286,18.06999969,7.142857142857142,0.31336165247550507
37,710571,916,104220,30-34,F,32,3091,1.0,1.610000014,1,1.0,0.03235198964736331,1.610000014,1.610000014,100.0,0.5208670378518279
38,710617,916,104228,30-34,F,15,5014,1.0,1.190000057,1,,0.01994415636218588,1.190000057,0.0,0.0,0.2373354720781811
39,710623,916,104229,30-34,F,16,38726,7.0,9.220000267,1,,0.018075711408356142,1.3171428952857143,0.0,0.0,0.23808294858751225
42,710763,916,104252,30-34,F,15,5369,1.0,1.50999999,1,,0.018625442354255912,1.50999999,0.0,0.0,0.2812441776867201
43,710836,916,104265,30-34,F,29,22221,7.0,9.430000067,1,1.0,0.03150173259529274,1.3471428667142857,9.430000067,14.285714285714285,0.4243733435488952
45,710880,916,104272,30-34,F,65,13019,5.0,6.960000038,1,,0.038405407481373374,1.3920000076,0.0,0.0,0.5346032750595284
46,710961,916,104285,35-39,F,25,2508,1.0,1.220000029,1,,0.03987240829346093,1.220000029,0.0,0.0,0.4864433927432217
47,710968,916,104287,35-39,F,27,5864,2.0,2.799999952,1,1.0,0.034106412005457026,1.399999976,2.799999952,50.0,0.47748975989085946
48,711217,916,104328,35-39,F,20,2783,1.0,1.600000024,1,,0.035932446999640676,1.600000024,0.0,0.0,0.574919160618038
49,711623,916,104396,40-44,F,15,3812,1.0,1.129999995,2,1.0,0.026232948583420776,1.129999995,1.129999995,100.0,0.2964323176810073
50,711764,916,104419,45-49,F,10,11199,4.0,5.730000019,1,1.0,0.035717474774533436,1.43250000475,5.730000019,25.0,0.5116528278417716
52,711877,916,104438,45-49,F,63,17572,7.0,9.379999995,1,,0.03983610289096289,1.3399999992857143,0.0,0.0,0.5338037784543592
55,734210,936,108654,30-34,M,10,13329,4.0,5.629999995,1,1.0,0.030009753169780176,1.40749999875,5.629999995,25.0,0.4223872754895341
56,734215,936,108655,30-34,M,15,13659,3.0,3.840000033,1,,0.021963540522732264,1.280000011,0.0,0.0,0.28113332110696243
60,734290,936,108668,30-34,M,29,5374,1.0,1.039999962,4,,0.018608113137327877,1.039999962,0.0,0.0,0.1935243695571269
63,734352,936,108678,35-39,M,10,4423,1.0,1.460000038,1,1.0,0.022609088853719195,1.460000038,1.460000038,100.0,0.33009270585575406
64,734361,936,108680,35-39,M,16,12382,2.0,2.839999914,1,1.0,0.016152479405588758,1.419999957,2.839999914,50.0,0.2293652006137942
65,734381,936,108683,35-39,M,20,2938,1.0,1.350000024,1,1.0,0.03403675970047651,1.350000024,1.350000024,100.0,0.4594962641252553
68,734421,936,108690,35-39,M,27,10332,4.0,5.75,1,,0.03871467286101432,1.4375,0.0,0.0,0.556523422377081
69,734427,936,108691,35-39,M,28,8259,3.0,3.980000019,1,,0.03632401017072285,1.326666673,0.0,0.0,0.48189853723211046
70,734433,936,108692,35-39,M,29,12158,3.0,4.449999928,1,,0.024675111037999672,1.4833333093333334,0.0,0.0,0.36601414114163516
71,734582,936,108716,40-44,M,29,7709,2.0,1.320000052,2,,0.02594370216629913,0.660000026,0.0,0.0,0.1712284410429368
75,734726,936,108740,45-49,M,29,10466,3.0,4.090000033,1,,0.02866424613032677,1.3633333443333333,0.0,0.0,0.3907892253965221
77,734785,936,108750,30-34,F,10,5576,1.0,1.529999971,1,1.0,0.01793400286944046,1.529999971,1.529999971,100.0,0.2743902387015782
79,734796,936,108752,30-34,F,16,39337,7.0,10.03000009,1,1.0,0.017794951318097465,1.4328571557142857,10.03000009,14.285714285714285,0.2549762333172331
82,734852,936,108761,30-34,F,26,13479,3.0,4.25,1,,0.022256843979523704,1.4166666666666667,0.0,0.0,0.3153052897099191
83,734854,936,108762,30-34,F,27,57022,13.0,20.29000032,3,3.0,0.02279821823155975,1.5607692553846155,6.76333344,23.076923076923077,0.3558275809336747
84,734856,936,108762,30-34,F,27,5453,1.0,1.389999986,1,1.0,0.018338529249954154,1.389999986,1.389999986,100.0,0.2549055540069686
85,734866,936,108764,30-34,F,29,11803,3.0,4.440000057,1,,0.02541726679657714,1.480000019,0.0,0.0,0.37617555341862235
86,734881,936,108766,30-34,F,31,4259,1.0,1.570000052,1,1.0,0.023479690068091103,1.570000052,1.570000052,100.0,0.3686311462784691
88,734903,936,108770,30-34,F,64,5323,1.0,1.289999962,1,1.0,0.0187863986473793,1.289999962,1.289999962,100.0,0.24234453541236145
89,734925,936,108774,35-39,F,10,5024,1.0,1.409999967,1,1.0,0.019904458598726117,1.409999967,1.409999967,100.0,0.2806528596735669
90,734939,936,108776,35-39,F,16,104648,24.0,33.33000004,4,2.0,0.022934026450577173,1.3887500016666667,16.66500002,8.333333333333332,0.31849629271462426
91,734968,936,108781,35-39,F,22,8504,3.0,3.340000093,1,1.0,0.03527751646284102,1.1133333643333334,3.340000093,33.33333333333333,0.3927563608889934
92,734999,936,108786,35-39,F,27,20277,6.0,8.050000072,1,,0.029590176061547565,1.3416666786666667,0.0,0.0,0.3970015323765843
93,735014,936,108788,35-39,F,29,12403,4.0,5.210000038,1,1.0,0.032250262033379024,1.3025000095,5.210000038,25.0,0.4200596660485367
95,735033,936,108792,35-39,F,36,652,,0.0,0,,0.0,0.0,0.0,0.0,0.0
100,735140,936,108809,40-44,F,26,6907,2.0,2.349999964,1,,0.02895613146083683,1.174999982,0.0,0.0,0.34023453945272913
101,735143,936,108810,40-44,F,27,39035,13.0,19.32999957,1,,0.03330344562572051,1.4869230438461538,0.0,0.0,0.49519660740361204
103,735184,936,108817,40-44,F,63,4412,1.0,1.450000048,1,,0.022665457842248413,1.450000048,0.0,0.0,0.32864914959202174
104,735189,936,108818,40-44,F,64,9965,3.0,4.050000072,1,,0.030105368790767684,1.3500000239999999,0.0,0.0,0.4064224859006522
105,735213,936,108822,45-49,F,10,73634,23.0,32.97999978,1,,0.03123557052448597,1.4339130339130435,0.0,0.0,0.44789091696770517
106,735220,936,108823,45-49,F,15,69708,20.0,31.28999949,1,,0.02869111149365926,1.5644999745,0.0,0.0,0.4488724320020657
108,735247,936,108827,45-49,F,20,14257,6.0,8.789999962,1,,0.04208459002595216,1.4649999936666667,0.0,0.0,0.6165392412148417
109,735289,936,108834,45-49,F,27,20362,5.0,9.119999886,1,1.0,0.02455554464198016,1.8239999772000002,9.119999886,20.0,0.44789312867105396
110,735290,936,108834,45-49,F,27,12215,4.0,6.26000011,1,,0.03274662300450266,1.5650000275,0.0,0.0,0.512484659025788
111,735298,936,108836,45-49,F,29,85412,28.0,38.63999999,2,1.0,0.03278227883669742,1.3799999996428571,38.63999999,3.571428571428571,0.4523954478293448
112,736869,936,109448,30-34,M,2,2338,1.0,0.239999995,1,,0.0427715996578272,0.239999995,0.0,0.0,0.1026518370402053
116,736988,936,109472,30-34,M,28,3891,1.0,1.090000033,1,,0.02570033410434336,1.090000033,0.0,0.0,0.2801336502184528
120,737130,936,109507,35-39,M,16,11199,2.0,2.680000067,1,,0.017858737387266718,1.3400000335,0.0,0.0,0.23930708697205108
121,737320,936,109553,35-39,M,63,5676,2.0,3.00999999,1,,0.035236081747709654,1.504999995,0.0,0.0,0.5303030285412262
123,737524,936,109601,40-44,M,30,2148,1.0,1.580000043,1,1.0,0.04655493482309125,1.580000043,1.580000043,100.0,0.7355679902234636
124,737644,936,109629,45-49,M,16,45401,10.0,14.06000042,1,,0.022025946565053633,1.406000042,0.0,0.0,0.3096848179555516
125,737657,936,109633,45-49,M,18,7478,2.0,2.900000095,1,1.0,0.02674511901577962,1.4500000475,2.900000095,50.0,0.3878042384327361
126,737658,936,109633,45-49,M,18,4919,1.0,1.590000033,1,,0.020329335230737954,1.590000033,0.0,0.0,0.3232364368774141
129,737896,936,109689,30-34,F,16,17553,3.0,4.590000153,1,,0.017091095539224065,1.530000051,0.0,0.0,0.2614937704665869
130,737931,936,109698,30-34,F,20,3343,1.0,0.540000021,1,,0.029913251570445706,0.540000021,0.0,0.0,0.16153156476218963
133,738006,936,109717,30-34,F,27,34740,7.0,13.41000009,1,1.0,0.020149683362118594,1.9157142985714286,13.41000009,14.285714285714285,0.38601036528497407
136,738307,936,109788,35-39,F,31,3010,1.0,0.860000014,1,1.0,0.03322259136212625,0.860000014,0.860000014,100.0,0.2857142903654485
137,738389,936,109808,40-44,F,10,27081,9.0,10.77000046,1,1.0,0.03323363243602526,1.1966667177777779,10.77000046,11.11111111111111,0.3976958184705144
138,738408,936,109813,40-44,F,16,20233,4.0,5.590000153,3,,0.019769683190826868,1.39750003825,0.0,0.0,0.2762813301537093
139,738413,936,109813,40-44,F,16,147159,36.0,58.16000044,3,1.0,0.024463335575805763,1.6155555677777778,58.16000044,2.7777777777777777,0.3952187799590919
140,738423,936,109816,40-44,F,18,21664,7.0,10.61999977,1,1.0,0.03231166912850812,1.5171428242857143,10.61999977,14.285714285714285,0.49021416959010333
141,738436,936,109820,40-44,F,19,9112,4.0,5.460000038,1,1.0,0.043898156277436345,1.3650000095,5.460000038,25.0,0.599209837357331
145,738582,936,109848,45-49,F,10,46150,15.0,20.17999983,1,1.0,0.03250270855904659,1.3453333219999999,20.17999983,6.666666666666667,0.43726976879739976
146,738592,936,109850,45-49,F,16,493821,116.0,176.3799977,4,1.0,0.02349029304140569,1.520517221551724,176.3799977,0.8620689655172413,0.3571739510875398
147,738593,936,109850,45-49,F,16,92011,27.0,34.39000046,2,1.0,0.029344317527252174,1.273703720740741,34.39000046,3.7037037037037033,0.37375966417058837
148,738598,936,109851,45-49,F,18,12956,4.0,5.49000001,1,1.0,0.030873726458783574,1.3725000025,5.49000001,25.0,0.42374189641864773
150,738637,936,109857,45-49,F,24,944,1.0,1.419999957,1,,0.1059322033898305,1.419999957,0.0,0.0,1.5042372425847457
151,738648,936,109859,45-49,F,26,111090,38.0,51.97000027,5,1.0,0.03420649923485462,1.3676315860526316,51.97000027,2.631578947368421,0.46781888801872357
152,747212,936,110836,30-34,M,10,7208,2.0,3.190000057,1,,0.02774694783573807,1.5950000285,0.0,0.0,0.4425638258879024
155,747222,936,110838,30-34,M,16,12489,2.0,1.960000038,1,,0.016014092401313153,0.980000019,0.0,0.0,0.15693810857554646
156,747223,936,110838,30-34,M,16,8032,1.0,0.600000024,2,,0.01245019920318725,0.600000024,0.0,0.0,0.07470119820717132
159,747362,936,110861,35-39,M,15,4607,1.0,1.149999976,1,1.0,0.021706099413935316,1.149999976,1.149999976,100.0,0.24962013805079225
160,747369,936,110862,35-39,M,16,13355,2.0,3.180000067,1,1.0,0.014975664545114188,1.5900000335,3.180000067,50.0,0.23811307128416323
162,747401,936,110867,35-39,M,22,2793,1.0,0.980000019,1,1.0,0.03580379520229145,0.980000019,0.980000019,100.0,0.35087719978517723
165,747489,936,110882,40-44,M,2,4016,2.0,1.480000049,1,1.0,0.049800796812749,0.7400000245,1.480000049,50.0,0.36852590861553786
166,747514,936,110886,40-44,M,16,14843,3.0,2.939999938,1,1.0,0.02021154753082261,0.9799999793333334,2.939999938,33.33333333333333,0.19807316162500843
167,747645,936,110908,45-49,M,10,9674,3.0,4.600000024,1,1.0,0.03101095720487906,1.5333333413333332,4.600000024,33.33333333333333,0.47550134628902213
168,747659,936,110910,45-49,M,16,12186,2.0,2.669999957,1,,0.016412276382734285,1.3349999785,0.0,0.0,0.2191038861808633
173,747791,936,110932,30-34,F,10,31393,8.0,10.96000051,1,1.0,0.025483388016436785,1.37000006375,10.96000051,12.5,0.3491224320708438
174,747795,936,110933,30-34,F,15,8410,2.0,2.359999895,1,1.0,0.023781212841854936,1.1799999475,2.359999895,50.0,0.28061829904875146
175,747798,936,110934,30-34,F,16,25884,5.0,7.350000143,1,,0.019316952557564517,1.4700000286,0.0,0.0,0.28395920812084685
177,747828,936,110939,30-34,F,22,28488,10.0,9.340000033,1,,0.035102499297950014,0.9340000033000001,0.0,0.0,0.32785734460123567
178,747852,936,110943,30-34,F,26,10126,3.0,4.619999886,1,,0.02962670353545329,1.5399999619999998,0.0,0.0,0.45625122318783323
179,747859,936,110944,30-34,F,27,22572,5.0,8.5,1,,0.022151337940811627,1.7,0.0,0.0,0.37657274499379767
184,747968,936,110962,35-39,F,21,512,,0.0,0,,0.0,0.0,0.0,0.0,0.0
185,747991,936,110966,35-39,F,25,4868,2.0,2.420000076,1,,0.041084634346754315,1.210000038,0.0,0.0,0.4971240912078883
186,748000,936,110967,35-39,F,26,6585,2.0,2.950000048,1,,0.030372057706909643,1.475000024,0.0,0.0,0.4479878584662111
187,748007,936,110968,35-39,F,27,10164,2.0,3.720000029,1,1.0,0.01967729240456513,1.8600000145,3.720000029,50.0,0.3659976415781188
188,748014,936,110970,35-39,F,29,11182,4.0,4.449999809,1,,0.03577177606868181,1.11249995225,0.0,0.0,0.3979609916830621
190,748086,936,110982,40-44,F,16,34127,8.0,13.07000017,1,,0.023441849561930433,1.63375002125,0.0,0.0,0.38298122219943154
191,748087,936,110982,40-44,F,16,29466,7.0,10.84999967,2,,0.02375619357904025,1.5499999528571429,0.0,0.0,0.3682209892757755
192,748089,936,110982,40-44,F,16,38759,9.0,10.84999967,1,,0.023220413323357156,1.205555518888889,0.0,0.0,0.27993497432854303
193,748091,936,110982,40-44,F,16,41720,10.0,12.06000006,1,1.0,0.023969319271332692,1.206000006,12.06000006,10.0,0.2890699918504315
194,748225,936,111005,45-49,F,15,18602,5.0,8.860000134,1,,0.026878830233308247,1.7720000268,0.0,0.0,0.47629287893774863
195,748230,936,111006,45-49,F,16,83929,21.0,27.72999954,4,1.0,0.025021148828176194,1.3204761685714286,27.72999954,4.761904761904762,0.33039830737885595
196,748231,936,111006,45-49,F,16,25194,6.0,7.349999905,1,,0.023815194093831864,1.2249999841666666,0.0,0.0,0.29173612387870124
197,748233,936,111006,45-49,F,16,78627,19.0,26.53000045,1,,0.0241647271293576,1.3963158131578948,0.0,0.0,0.33741590611367595
198,748235,936,111006,45-49,F,16,102695,25.0,39.42999983,3,,0.024343931057987246,1.5771999932,0.0,0.0,0.3839524789911875
199,748294,936,111016,45-49,F,27,82827,24.0,47.93000031,3,,0.028976058531638236,1.99708334625,0.0,0.0,0.5786760393349994
200,748295,936,111016,45-49,F,27,9240,3.0,6.039999962,1,,0.032467532467532464,2.0133333206666664,0.0,0.0,0.6536796495670996
201,748303,936,111018,45-49,F,29,7706,2.0,2.369999886,1,,0.02595380223202699,1.184999943,0.0,0.0,0.3075525416558526
202,748314,936,111020,45-49,F,31,7821,4.0,6.340000153,1,1.0,0.0511443549418233,1.58500003825,6.340000153,25.0,0.810638045390615
205,776322,936,115485,45-49,F,16,119063,34.0,53.21999949,1,,0.02855631052468021,1.5652941026470588,0.0,0.0,0.44699024457640074
206,776323,936,115485,45-49,F,16,99078,23.0,35.79999948,2,,0.023214033387835845,1.556521716521739,0.0,0.0,0.36133147096227214
207,776325,936,115485,45-49,F,16,452398,114.0,180.2200012,1,,0.025199050393679902,1.5808772035087721,0.0,0.0,0.398366043174373
208,776334,936,115487,45-49,F,10,191223,48.0,76.41000056,1,,0.025101582968575953,1.5918750116666667,0.0,0.0,0.3995858268095365
209,776336,936,115487,45-49,F,10,22216,6.0,9.549999952,1,,0.02700756211739287,1.5916666586666668,0.0,0.0,0.4298703615412316
210,776338,936,115487,45-49,F,10,48291,11.0,18.01999998,1,,0.022778571576484233,1.6381818163636366,0.0,0.0,0.3731544175933404
211,776353,936,115490,40-44,F,63,27559,8.0,13.37,1,,0.0290286294858304,1.67125,0.0,0.0,0.48514097028194053
212,776373,936,115493,45-49,F,25,10194,4.0,4.590000033,2,1.0,0.039238767902687856,1.14750000825,4.590000033,25.0,0.45026486492054146
214,776405,936,115498,45-49,F,21,40126,16.0,25.86000001,1,,0.03987439565369087,1.616250000625,0.0,0.0,0.6444699200019937
215,776416,936,115500,45-49,F,19,3659,1.0,0.49000001,1,1.0,0.027329871549603715,0.49000001,0.49000001,100.0,0.13391637332604536
217,776464,936,115508,45-49,F,29,7550,1.0,1.679999948,1,1.0,0.013245033112582781,1.679999948,1.679999948,100.0,0.2225165494039735
218,776469,936,115509,45-49,F,28,45397,15.0,25.41999936,1,1.0,0.03304183095799282,1.694666624,25.41999936,6.666666666666667,0.5599488812036036
219,776473,936,115510,30-34,M,16,23086,2.0,3.310000062,1,1.0,0.008663259118080222,1.655000031,3.310000062,50.0,0.143376941089838
220,776475,936,115510,30-34,M,16,16425,1.0,1.549999952,1,,0.0060882800608828,1.549999952,0.0,0.0,0.09436833802130898
221,776476,936,115510,30-34,M,16,43756,5.0,5.439999938,0,,0.011427004296553616,1.0879999876,0.0,0.0,0.12432580532955481
223,776489,936,115512,45-49,F,26,175389,55.0,81.60999787,1,,0.031358865151178236,1.4838181430909092,0.0,0.0,0.4653085305805951
225,776515,936,115517,45-49,F,65,12706,3.0,4.98999989,1,1.0,0.023610892491736188,1.6633332966666667,4.98999989,33.33333333333333,0.392727836455218
226,776519,936,115517,45-49,F,65,70702,20.0,31.7099998,1,,0.028287742920992336,1.58549999,0.0,0.0,0.4485021611835592
227,776533,936,115520,45-49,F,63,63927,16.0,25.52000046,2,,0.025028548187776684,1.59500002875,0.0,0.0,0.39920535079074565
228,776534,936,115520,45-49,F,63,15105,3.0,4.25999999,1,,0.019860973187686197,1.4199999966666665,0.0,0.0,0.28202581860311154
229,776538,936,115521,30-34,F,15,8774,1.0,1.830000043,1,,0.011397310234784592,1.830000043,0.0,0.0,0.20857078219740144
230,776551,936,115523,30-34,F,16,14459,1.0,1.389999986,1,,0.006916107614634484,1.389999986,0.0,0.0,0.09613389487516427
231,776552,936,115523,30-34,F,16,21596,2.0,2.809999943,1,,0.009260974254491572,1.4049999715,0.0,0.0,0.1301166856362289
232,776553,936,115523,30-34,F,16,66765,8.0,11.04999971,1,,0.011982326069048154,1.38124996375,0.0,0.0,0.16550587448513443
234,776579,936,115527,30-34,F,10,26910,5.0,7.229999781,1,,0.01858045336306206,1.4459999562,0.0,0.0,0.2686733474916388
236,776615,936,115533,45-49,M,63,11988,3.0,4.269999862,1,,0.025025025025025023,1.4233332873333333,0.0,0.0,0.356189511344678
237,776623,936,115535,45-49,M,64,19353,6.0,9.4799999,1,1.0,0.031002945279801578,1.5799999833333331,9.4799999,16.666666666666664,0.48984653025370745
238,776631,936,115536,40-44,M,29,10960,2.0,2.890000105,1,,0.01824817518248175,1.4450000525,0.0,0.0,0.26368614096715326
239,776643,936,115538,30-34,M,15,33491,6.0,10.56999969,2,1.0,0.017915260816338718,1.761666615,10.56999969,16.666666666666664,0.31560716879161566
240,776644,936,115538,30-34,M,15,20083,2.0,3.200000048,2,1.0,0.009958671513220135,1.600000024,3.200000048,50.0,0.15933874660160335
242,776661,936,115541,30-34,M,16,15466,1.0,0.970000029,1,,0.006465795939480151,0.970000029,0.0,0.0,0.06271822248803828
243,776662,936,115541,30-34,M,16,27072,3.0,4.370000005,1,,0.011081560283687944,1.4566666683333331,0.0,0.0,0.16142139498374705
244,776663,936,115541,30-34,M,16,15753,1.0,0.569999993,1,1.0,0.006347997206881229,0.569999993,0.569999993,100.0,0.0361835836348632
245,776668,936,115542,40-44,M,19,3523,1.0,1.809999943,1,1.0,0.02838489923360772,1.809999943,1.809999943,100.0,0.5137666599489071
247,776686,936,115545,40-44,M,16,18709,2.0,3.319999933,1,,0.010690042225666791,1.6599999665,0.0,0.0,0.1774546973649046
249,776696,936,115547,30-34,M,10,7966,1.0,1.179999948,1,1.0,0.012553351744915892,1.179999948,1.179999948,100.0,0.14812954406226464
251,776698,936,115547,30-34,M,10,12785,3.0,4.730000019,2,1.0,0.023464998044583497,1.576666673,4.730000019,33.33333333333333,0.3699648039890497
252,776699,936,115547,30-34,M,10,8213,1.0,1.379999995,1,1.0,0.0121758188238159,1.379999995,1.379999995,100.0,0.1680262991598685
254,776725,936,115552,40-44,M,23,2479,1.0,1.25999999,1,,0.04033884630899556,1.25999999,0.0,0.0,0.5082694594594596
255,776780,936,115561,40-44,M,2,3812,2.0,3.049999952,1,,0.05246589716684155,1.524999976,0.0,0.0,0.8001049192025182
257,776799,936,115564,45-49,M,20,10257,3.0,3.579999924,1,1.0,0.029248318221702253,1.193333308,3.579999924,33.33333333333333,0.34902992336940625
258,776817,936,115567,40-44,M,10,12356,4.0,6.279999971,1,,0.03237293622531564,1.56999999275,0.0,0.0,0.5082550963904175
259,776825,936,115568,45-49,M,18,7410,1.0,1.210000038,1,,0.013495276653171389,1.210000038,0.0,0.0,0.16329285263157894
260,776829,936,115569,45-49,M,16,140098,28.0,46.63000011,1,,0.0199860097931448,1.6653571467857142,0.0,0.0,0.3328384424474296
261,776831,936,115569,45-49,M,16,107021,20.0,34.44000012,1,,0.018687921062221433,1.722000006,0.0,0.0,0.32180600181272834
262,776840,936,115571,35-39,M,36,2797,1.0,1.289999962,1,,0.03575259206292456,1.289999962,0.0,0.0,0.46120842402574186
263,776861,936,115574,45-49,M,7,16461,6.0,9.21999979,1,,0.03644979041370512,1.5366666316666666,0.0,0.0,0.5601117665998421
264,776892,936,115580,40-44,M,63,17488,5.0,7.719999909,1,,0.028591033851784083,1.5439999818,0.0,0.0,0.44144555746797803
265,776928,936,115586,35-39,M,10,9750,2.0,1.5,1,1.0,0.020512820512820513,0.75,1.5,50.0,0.15384615384615385
267,777105,936,115615,45-49,M,63,4333,1.0,0.180000007,1,1.0,0.02307869836141242,0.180000007,0.180000007,100.0,0.04154165866605123
271,777187,936,115629,40-44,M,27,11292,3.0,5.389999866,1,1.0,0.026567481402763018,1.796666622,5.389999866,33.33333333333333,0.47732907066950053
272,777198,936,115631,30-34,M,64,12729,4.0,5.779999852,1,,0.031424306701233404,1.444999963,0.0,0.0,0.4540812202058292
275,777235,936,115637,30-34,M,65,2883,1.0,0.99000001,1,1.0,0.0346860908775581,0.99000001,0.99000001,100.0,0.34339230315643426
276,777248,936,115639,30-34,F,7,3989,1.0,1.279999971,1,,0.0250689395838556,1.279999971,0.0,0.0,0.32088241940335926
277,777261,936,115641,40-44,M,29,19603,4.0,5.279999971,1,1.0,0.020405040044891087,1.31999999275,5.279999971,25.0,0.26934652711319695
278,777382,936,115675,40-44,M,24,3047,1.0,1.379999995,1,,0.03281916639317361,1.379999995,0.0,0.0,0.4529044945848375
279,777398,936,115677,35-39,M,24,3029,1.0,1.049999952,1,1.0,0.033014196104324864,1.049999952,1.049999952,100.0,0.3466490432485969
280,777410,936,115679,45-49,M,26,3490,1.0,1.340000033,1,1.0,0.028653295128939826,1.340000033,1.340000033,100.0,0.3839541641833811
282,777495,936,115693,40-44,M,19,19581,7.0,10.42999983,2,,0.0357489402992697,1.4899999757142857,0.0,0.0,0.532659201777233
283,777519,936,115697,45-49,M,29,19537,5.0,6.099999905,1,,0.025592465578133796,1.219999981,0.0,0.0,0.31222807519066387
284,777625,936,115715,45-49,M,16,59433,12.0,19.65999949,3,,0.020190803089192872,1.6383332908333335,0.0,0.0,0.33079264869685193
285,777627,936,115715,45-49,M,16,157534,33.0,56.19000077,2,,0.020947858874909544,1.702727296060606,0.0,0.0,0.356684911003339
287,777670,936,115723,40-44,M,16,23769,4.0,6.029999852,1,,0.016828642349278472,1.507499963,0.0,0.0,0.25369177718877534
289,777742,936,115735,35-39,M,64,4726,1.0,1.830000043,1,1.0,0.021159542953872196,1.830000043,1.830000043,100.0,0.38721964515446466
290,777758,936,115737,30-34,M,19,5209,1.0,0.959999979,2,,0.01919754271453254,0.959999979,0.0,0.0,0.1842964060280284
291,777794,936,115743,30-34,M,18,13473,3.0,2.619999945,3,,0.0222667557336896,0.873333315,0.0,0.0,0.19446299599198397
293,777871,936,115756,30-34,M,20,4616,1.0,1.360000014,1,,0.02166377816291161,1.360000014,0.0,0.0,0.29462738604852684
296,778037,936,115784,35-39,M,27,14615,4.0,6.050000191,1,,0.027369141293191925,1.51250004775,0.0,0.0,0.41395827512829286
297,778048,936,115786,30-34,M,27,56615,12.0,19.88000035,2,,0.021195796167093526,1.6566666958333334,0.0,0.0,0.3511436960169566
298,778085,936,115792,30-34,M,26,11735,3.0,4.529999971,1,1.0,0.025564550489987216,1.5099999903333332,4.529999971,33.33333333333333,0.3860247099275671
299,778087,936,115792,30-34,M,26,15910,5.0,6.779999852,1,,0.03142677561282212,1.3559999704,0.0,0.0,0.42614706800754243
300,778112,936,115796,35-39,M,29,11446,2.0,3.090000033,1,1.0,0.017473353136466887,1.5450000165,3.090000033,50.0,0.26996330884151665
